"","state","statebb","year","binge_all","binge_male","binge_female","poverty"
"1","Alabama","AL",2010,NA,NA,NA,19
"2","Alabama","AL",2011,13.7,20.2,7.9,19
"3","Alabama","AL",2012,12.3,18.2,7,19
"4","Alabama","AL",2013,11.2,16.3,6.5,18.7
"5","Alabama","AL",2014,12,17.9,6.8,19.3
"6","Alabama","AL",2015,11.6,16.2,7.5,18.5
"7","Alabama","AL",2016,13,17.6,8.8,17.1
"8","Alaska","AK",2010,NA,NA,NA,9.9
"9","Alaska","AK",2011,20.8,26,15.6,10.5
"10","Alaska","AK",2012,16.8,20.5,12.7,10.1
"11","Alaska","AK",2013,19.5,23.8,14.8,9.3
"12","Alaska","AK",2014,20.2,25.3,14.8,11.2
"13","Alaska","AK",2015,20.3,23.9,16.4,10.3
"14","Alaska","AK",2016,18.2,21,15.1,9.9
"15","Arizona","AZ",2010,NA,NA,NA,17.4
"16","Arizona","AZ",2011,17.6,23.6,11.7,19
"17","Arizona","AZ",2012,15.3,21.1,9.7,18.7
"18","Arizona","AZ",2013,13.4,18,9.1,18.6
"19","Arizona","AZ",2014,14.9,21.1,9.1,18.2
"20","Arizona","AZ",2015,14.2,20.3,8.3,17.4
"21","Arizona","AZ",2016,15.6,21.3,10.1,16.4
"22","Arkansas","AR",2010,NA,NA,NA,18.8
"23","Arkansas","AR",2011,14.1,19.2,9.2,19.5
"24","Arkansas","AR",2012,11.8,16.3,7.7,19.8
"25","Arkansas","AR",2013,12.5,17.5,8,19.7
"26","Arkansas","AR",2014,13.3,17.9,8.9,18.9
"27","Arkansas","AR",2015,14.1,19.8,8.8,19.1
"28","Arkansas","AR",2016,15,20.6,9.8,17.2
"29","California","CA",2010,NA,NA,NA,15.8
"30","California","CA",2011,18.6,25.2,12.1,16.6
"31","California","CA",2012,16.9,23.2,10.9,17
"32","California","CA",2013,17.4,23.3,11.9,16.8
"33","California","CA",2014,15.6,20.3,11.1,16.4
"34","California","CA",2015,16.5,21.4,11.7,15.3
"35","California","CA",2016,16.3,21.5,11.2,14.3
"36","Colorado","CO",2010,NA,NA,NA,13.4
"37","Colorado","CO",2011,20.1,26.3,14,13.5
"38","Colorado","CO",2012,19.2,24.7,13.8,13.7
"39","Colorado","CO",2013,18.5,23.6,13.5,13
"40","Colorado","CO",2014,17.5,22.8,12.2,12
"41","Colorado","CO",2015,17.6,23,12.4,11.5
"42","Colorado","CO",2016,19,24.2,13.9,11
"43","Connecticut","CT",2010,NA,NA,NA,10.1
"44","Connecticut","CT",2011,17.9,24.4,11.9,10.9
"45","Connecticut","CT",2012,17.5,22.9,12.6,10.7
"46","Connecticut","CT",2013,18.2,24.3,12.5,10.7
"47","Connecticut","CT",2014,15.9,20.8,11.3,10.8
"48","Connecticut","CT",2015,16.9,23.1,11.1,10.5
"49","Connecticut","CT",2016,16.7,21.9,11.9,9.8
"50","Delaware","DE",2010,NA,NA,NA,11.8
"51","Delaware","DE",2011,20.3,27.2,13.9,11.9
"52","Delaware","DE",2012,18.6,23.6,14,12
"53","Delaware","DE",2013,17,22.4,12,12.4
"54","Delaware","DE",2014,15.7,21,10.8,12.5
"55","Delaware","DE",2015,14.9,17.8,12.4,12.4
"56","Delaware","DE",2016,17,20.6,13.7,11.7
"57","District of Columbia","DC",2010,NA,NA,NA,19.2
"58","District of Columbia","DC",2011,25,31.3,19.5,18.7
"59","District of Columbia","DC",2012,23.1,27.2,19.6,18.2
"60","District of Columbia","DC",2013,22.4,28.2,17.1,18.9
"61","District of Columbia","DC",2014,24.9,31.2,19.4,17.7
"62","District of Columbia","DC",2015,27.2,33.1,21.9,17.3
"63","District of Columbia","DC",2016,25.6,30.5,21.3,18.6
"64","Florida","FL",2010,NA,NA,NA,16.5
"65","Florida","FL",2011,17.1,22.6,12,17
"66","Florida","FL",2012,16.5,22.1,11.4,17.1
"67","Florida","FL",2013,15.6,21.7,9.9,17
"68","Florida","FL",2014,15,19.8,10.6,16.5
"69","Florida","FL",2015,15.6,20.5,11,15.7
"70","Florida","FL",2016,15.5,20.1,11.3,14.7
"71","Georgia","GA",2010,NA,NA,NA,17.9
"72","Georgia","GA",2011,16.6,22.5,11.1,19.1
"73","Georgia","GA",2012,14.4,19.4,9.8,19.2
"74","Georgia","GA",2013,13.1,17.3,9.2,19
"75","Georgia","GA",2014,14.2,19.6,9.2,18.3
"76","Georgia","GA",2015,15.3,20.8,10.2,17
"77","Georgia","GA",2016,13.3,17.4,9.7,16
"78","Guam","GU",2011,18.3,28.1,8.4,NA
"79","Guam","GU",2012,19.3,28.7,9.8,NA
"80","Guam","GU",2013,20.9,33.8,8.4,NA
"81","Guam","GU",2014,22.9,33.8,12.2,NA
"82","Guam","GU",2015,21.2,30.8,11.4,NA
"83","Guam","GU",2016,20.7,29.8,11.2,NA
"84","Hawaii","HI",2010,NA,NA,NA,10.7
"85","Hawaii","HI",2011,21.5,30.8,12.3,12
"86","Hawaii","HI",2012,18.2,25.7,11,11.6
"87","Hawaii","HI",2013,18.3,25.4,11.2,10.8
"88","Hawaii","HI",2014,19.7,28,11.4,11.4
"89","Hawaii","HI",2015,18.9,26.1,11.7,10.6
"90","Hawaii","HI",2016,18.6,24.3,12.8,9.3
"91","Idaho","ID",2010,NA,NA,NA,15.7
"92","Idaho","ID",2011,16.6,22,11.2,16.5
"93","Idaho","ID",2012,14.1,17.9,10.5,15.9
"94","Idaho","ID",2013,14.9,18.9,10.9,15.6
"95","Idaho","ID",2014,14.8,20.8,9.1,14.8
"96","Idaho","ID",2015,14.1,18.6,9.8,15.1
"97","Idaho","ID",2016,16.1,20.3,12,14.4
"98","Illinois","IL",2010,NA,NA,NA,13.8
"99","Illinois","IL",2011,23,30.2,16.1,15
"100","Illinois","IL",2012,21.6,29,14.6,14.7
"101","Illinois","IL",2013,21.8,28.4,15.5,14.7
"102","Illinois","IL",2014,20.2,27.5,13.3,14.4
"103","Illinois","IL",2015,20.2,26.4,14.4,13.6
"104","Illinois","IL",2016,19.9,25.6,14.5,13
"105","Indiana","IN",2010,NA,NA,NA,15.3
"106","Indiana","IN",2011,17.8,23.4,12.5,16
"107","Indiana","IN",2012,15.9,21.6,10.6,15.6
"108","Indiana","IN",2013,15,20.2,10.3,15.9
"109","Indiana","IN",2014,14.8,19.9,10,15.2
"110","Indiana","IN",2015,15.7,22,9.8,14.5
"111","Indiana","IN",2016,17.5,23.3,12.1,14.1
"112","Iowa","IA",2010,NA,NA,NA,12.6
"113","Iowa","IA",2011,23.1,30.8,15.8,12.8
"114","Iowa","IA",2012,21.7,28.5,15.2,12.7
"115","Iowa","IA",2013,21.7,28.5,15.1,12.7
"116","Iowa","IA",2014,21.4,27.9,15.1,12.2
"117","Iowa","IA",2015,19.8,26.6,13.3,12.2
"118","Iowa","IA",2016,21.2,27.1,15.4,11.8
"119","Kansas","KS",2010,NA,NA,NA,13.6
"120","Kansas","KS",2011,17,23.1,11.2,13.8
"121","Kansas","KS",2012,15.8,22.3,9.5,14
"122","Kansas","KS",2013,15.4,21.7,9.3,14
"123","Kansas","KS",2014,15.8,22.8,9.1,13.6
"124","Kansas","KS",2015,15.6,21.4,10.1,13
"125","Kansas","KS",2016,16,21.8,10.4,12.1
"126","Kentucky","KY",2010,NA,NA,NA,19
"127","Kentucky","KY",2011,16.1,22.6,10.2,19.1
"128","Kentucky","KY",2012,14.9,21,9.1,19.4
"129","Kentucky","KY",2013,13.4,18.5,8.6,18.8
"130","Kentucky","KY",2014,12.7,18.1,7.6,19.1
"131","Kentucky","KY",2015,15.3,21.4,9.6,18.5
"132","Kentucky","KY",2016,14.6,20.5,9.2,18.5
"133","Louisiana","LA",2010,NA,NA,NA,18.7
"134","Louisiana","LA",2011,16.1,22.7,10.2,20.4
"135","Louisiana","LA",2012,16.5,24.1,9.7,19.9
"136","Louisiana","LA",2013,16.3,22,11.1,19.8
"137","Louisiana","LA",2014,16,21.4,11.1,19.8
"138","Louisiana","LA",2015,17.3,22.8,12.2,19.6
"139","Louisiana","LA",2016,16.9,22.4,11.7,20.2
"140","Maine","ME",2010,NA,NA,NA,12.9
"141","Maine","ME",2011,17.3,22.9,11.9,14.1
"142","Maine","ME",2012,17.7,24,11.9,14.7
"143","Maine","ME",2013,17.2,22.2,12.5,14
"144","Maine","ME",2014,17,23,11.5,14.1
"145","Maine","ME",2015,17.6,22.6,13,13.4
"146","Maine","ME",2016,18.3,23.4,13.6,12.5
